Outbound Order Num/出库单号,Tracking Number/物流跟踪号,Shipping service/承运商
OBS0032506020WH,9434609106246500684904,USPS
OBS0032506020WG,9434609106246500685055,USPS
OBS0032506020WE,9434609106246500685000,USPS
OBS0032506020WI,9434609106246500685215,USPS
OBS0032506020WD,9434609106246000713012,USPS
OBS0032506020WF,9434609106246000713326,USPS
OBS0032506020X2,9400109106246000713331,USPS
OBS0032506020X6,9400109106246000713157,USPS
OBS0032506020X9,9434609106246500685239,USPS
OBS0032506020XJ,9434609106246500685314,USPS
OBS0032506020XQ,9400109106246500685060,USPS
OBS0032506020YW,9434609106246000713234,USPS
OBS0032506020YZ,9400109106246500685077,USPS
OBS0032506020Z3,9400109106246500685138,USPS
OBS0032506020Z5,9400109106246000713058,USPS
OBS0032506020Z9,9400109106246500685244,USPS
OBS0032506020ZL,9400109106246000713065,USPS
OBS00325060210B,9400109106246500685268,USPS
OBS00325060210C,9434609106246500685147,USPS
OBS00325060210G,9434609106246000713241,USPS
OBS00325060210L,9434609106246000713173,USPS
OBS00325060210R,9434609106246500685277,USPS
OBS00325060210O,9434609106246000713081,USPS
OBS00325060210T,9434609106246000713258,USPS
OBS00325060210V,9434609106246500685338,USPS
OBS00325060210W,9434609106246500685154,USPS
OBS0032506030S3,9434609106246500685109,USPS
OBS0032506030S7,9434609106246500685161,USPS
OBS0032506030S8,9434609106246500685178,USPS
OBS0032506030SH,9400109106246500685343,USPS
