city_name,state_code,start_zip,end_zip
Adak,AK,99546,99546
Akiachak,AK,99551,99551
Akiak,AK,99552,99552
Akutan,AK,99553,99553
Alakanuk,AK,99554,99554
Aleknagik,AK,99555,99555
Allakaket,AK,99720,99720
Ambler,AK,99786,99786
Anaktuvuk Pass,AK,99721,99721
Anchor Point,AK,99556,99556
Anchorage,AK,99501,99695
Anderson,AK,99744,99744
Angoon,AK,99820,99820
Aniak,AK,99557,99557
Anvik,AK,99558,99558
Arctic Village,AK,99722,99722
Atka,AK,99547,99547
Atqasuk,AK,99791,99791
Auke Bay,AK,99821,99821
Barrow,AK,99723,99723
Beaver,AK,99724,99724
Bethel,AK,99559,99559
Bettles Field,AK,99726,99726
Big Lake,AK,99652,99652
Brevig Mission,AK,99785,99785
Buckland,AK,99727,99727
Cantwell,AK,99729,99729
Central,AK,99730,99730
Chalkyitsik,AK,99788,99788
Chefornak,AK,99561,99561
Chevak,AK,99563,99563
Chicken,AK,99732,99732
Chignik,AK,99564,99564
Chignik Lagoon,AK,99565,99565
Chignik Lake,AK,99548,99548
Chitina,AK,99566,99566
Chugiak,AK,99567,99567
Circle,AK,99733,99733
Clam Gulch,AK,99568,99568
Clarks Point,AK,99569,99569
Clear,AK,99704,99704
Coffman Cove,AK,99918,99918
Cold Bay,AK,99571,99571
Cooper Landing,AK,99572,99572
Copper Center,AK,99573,99573
Cordova,AK,99574,99574
Craig,AK,99921,99921
Crooked Creek,AK,99575,99575
Deering,AK,99736,99736
Delta Junction,AK,99737,99737
Denali National Park,AK,99755,99755
Dillingham,AK,99576,99576
Douglas,AK,99824,99824
Dutch Harbor,AK,99692,99692
Eagle,AK,99738,99738
Eagle River,AK,99577,99577
Eek,AK,99578,99578
Egegik,AK,99579,99579
Eielson Afb,AK,99702,99702
Ekwok,AK,99580,99580
Elfin Cove,AK,99825,99825
Elim,AK,99739,99739
Emmonak,AK,99581,99581
Ester,AK,99725,99725
Fairbanks,AK,99701,99790
False Pass,AK,99583,99583
Fort Greely,AK,99731,99731
Fort Wainwright,AK,99703,99703
Fort Yukon,AK,99740,99740
Gakona,AK,99586,99586
Galena,AK,99741,99741
Gambell,AK,99742,99742
Girdwood,AK,99587,99587
Glennallen,AK,99588,99588
Goodnews Bay,AK,99589,99589
Grayling,AK,99590,99590
Gustavus,AK,99826,99826
Haines,AK,99827,99827
Healy,AK,99743,99743
Holy Cross,AK,99602,99602
Homer,AK,99603,99603
Hoonah,AK,99829,99829
Hooper Bay,AK,99604,99604
Hope,AK,99605,99605
Houston,AK,99694,99694
Hughes,AK,99745,99745
Huslia,AK,99746,99746
Hydaburg,AK,99922,99922
Hyder,AK,99923,99923
Iliamna,AK,99606,99606
Indian,AK,99540,99540
Jber,AK,99505,99506
Juneau,AK,99801,99850
Kake,AK,99830,99830
Kaktovik,AK,99747,99747
Kalskag,AK,99607,99607
Kaltag,AK,99748,99748
Karluk,AK,99608,99608
Kasigluk,AK,99609,99609
Kasilof,AK,99610,99610
Kenai,AK,99611,99611
Ketchikan,AK,99901,99950
Kiana,AK,99749,99749
King Cove,AK,99612,99612
King Salmon,AK,99613,99613
Kipnuk,AK,99614,99614
Kivalina,AK,99750,99750
Klawock,AK,99925,99925
Kobuk,AK,99751,99751
Kodiak,AK,99615,99697
Kongiganak,AK,99545,99545
Kotlik,AK,99620,99620
Kotzebue,AK,99752,99752
Koyuk,AK,99753,99753
Koyukuk,AK,99754,99754
Kwethluk,AK,99621,99621
Kwigillingok,AK,99622,99622
