state-city,start_zipcode,end_zipcode
AK-Adak,99546,99546
AK-Akiachak,99551,99551
AK-Akiak,99552,99552
AK-Akutan,99553,99553
AK-Alakanuk,99554,99554
AK-Aleknagik,99555,99555
AK-Allakaket,99720,99720
AK-Ambler,99786,99786
AK-Anaktuvuk Pass,99721,99721
AK-Anchor Point,99556,99556
AK-Anchorage,99501,99695
AK-Anderson,99744,99744
AK-Angoon,99820,99820
AK-Aniak,99557,99557
AK-Anvik,99558,99558
AK-Arctic Village,99722,99722
AK-Atka,99547,99547
AK-Atqasuk,99791,99791
AK-Auke Bay,99821,99821
AK-Barrow,99723,99723
AK-Beaver,99724,99724
AK-Bethel,99559,99559
AK-Bettles Field,99726,99726
AK-Big Lake,99652,99652
AK-Brevig Mission,99785,99785
AK-Buckland,99727,99727
AK-Cantwell,99729,99729
AK-Central,99730,99730
AK-Chalkyitsik,99788,99788
AK-Chefornak,99561,99561
AK-Chevak,99563,99563
AK-Chicken,99732,99732
AK-Chignik,99564,99564
AK-Chignik Lagoon,99565,99565
AK-Chignik Lake,99548,99548
AK-Chitina,99566,99566
AK-Chugiak,99567,99567
AK-Circle,99733,99733
AK-Clam Gulch,99568,99568
AK-Clarks Point,99569,99569
AK-Clear,99704,99704
AK-Coffman Cove,99918,99918
AK-Cold Bay,99571,99571
AK-Cooper Landing,99572,99572
AK-Copper Center,99573,99573
AK-Cordova,99574,99574
AK-Craig,99921,99921
AK-Crooked Creek,99575,99575
AK-Deering,99736,99736
AK-Delta Junction,99737,99737
AK-Denali National Park,99755,99755
AK-Dillingham,99576,99576
AK-Douglas,99824,99824
AK-Dutch Harbor,99692,99692
AK-Eagle,99738,99738
AK-Eagle River,99577,99577
AK-Eek,99578,99578
AK-Egegik,99579,99579
AK-Eielson Afb,99702,99702
AK-Ekwok,99580,99580
AK-Elfin Cove,99825,99825
AK-Elim,99739,99739
AK-Emmonak,99581,99581
AK-Ester,99725,99725
AK-Fairbanks,99701,99790
AK-False Pass,99583,99583
AK-Fort Greely,99731,99731
AK-Fort Wainwright,99703,99703
AK-Fort Yukon,99740,99740
AK-Gakona,99586,99586
AK-Galena,99741,99741
AK-Gambell,99742,99742
AK-Girdwood,99587,99587
AK-Glennallen,99588,99588
AK-Goodnews Bay,99589,99589
AK-Grayling,99590,99590
AK-Gustavus,99826,99826
AK-Haines,99827,99827
AK-Healy,99743,99743
AK-Holy Cross,99602,99602
AK-Homer,99603,99603
AK-Hoonah,99829,99829
AK-Hooper Bay,99604,99604
AK-Hope,99605,99605
AK-Houston,99694,99694
AK-Hughes,99745,99745
AK-Huslia,99746,99746
AK-Hydaburg,99922,99922
AK-Hyder,99923,99923
AK-Iliamna,99606,99606
AK-Indian,99540,99540
AK-Jber,99505,99506
AK-Juneau,99801,99850
AK-Kake,99830,99830
AK-Kaktovik,99747,99747
AK-Kalskag,99607,99607
AK-Kaltag,99748,99748
AK-Karluk,99608,99608
AK-Kasigluk,99609,99609
AK-Kasilof,99610,99610
AK-Kenai,99611,99611
AK-Ketchikan,99901,99950
AK-Kiana,99749,99749
AK-King Cove,99612,99612
AK-King Salmon,99613,99613
AK-Kipnuk,99614,99614
AK-Kivalina,99750,99750
AK-Klawock,99925,99925
AK-Kobuk,99751,99751
AK-Kodiak,99615,99697
AK-Kongiganak,99545,99545
AK-Kotlik,99620,99620
AK-Kotzebue,99752,99752
AK-Koyuk,99753,99753
AK-Koyukuk,99754,99754
AK-Kwethluk,99621,99621
AK-Kwigillingok,99622,99622
AK-Lake Minchumina,99757,99757
AK-Larsen Bay,99624,99624
AK-Levelock,99625,99625
AK-Lower Kalskag,99626,99626
AK-Manley Hot Springs,99756,99756
AK-Manokotak,99628,99628
AK-Marshall,99585,99585
AK-Mc Grath,99627,99627
AK-Mekoryuk,99630,99630
AK-Metlakatla,99926,99926
AK-Meyers Chuck,99903,99903
AK-Minto,99758,99758
AK-Moose Pass,99631,99631
AK-Mountain Village,99632,99632
AK-Naknek,99633,99633
AK-Napakiak,99634,99634
AK-Nenana,99760,99760
AK-New Stuyahok,99636,99636
AK-Nightmute,99690,99690
AK-Nikiski,99635,99635
AK-Nikolai,99691,99691
AK-Nikolski,99638,99638
AK-Ninilchik,99639,99639
AK-Noatak,99761,99761
AK-Nome,99762,99762
AK-Nondalton,99640,99640
AK-Noorvik,99763,99763
AK-North Pole,99705,99705
AK-Northway,99764,99764
AK-Nuiqsut,99789,99789
AK-Nulato,99765,99765
AK-Nunam Iqua,99666,99666
AK-Nunapitchuk,99641,99641
AK-Old Harbor,99643,99643
AK-Ouzinkie,99644,99644
AK-Palmer,99645,99645
AK-Pedro Bay,99647,99647
AK-Pelican,99832,99832
AK-Perryville,99648,99648
AK-Petersburg,99833,99833
AK-Pilot Point,99649,99649
AK-Pilot Station,99650,99650
AK-Platinum,99651,99651
AK-Point Baker,99927,99927
AK-Point Hope,99766,99766
AK-Point Lay,99759,99759
AK-Port Alexander,99836,99836
AK-Port Alsworth,99653,99653
AK-Port Heiden,99549,99549
AK-Port Lions,99550,99550
AK-Prudhoe Bay,99734,99734
AK-Quinhagak,99655,99655
AK-Rampart,99767,99767
AK-Red Devil,99656,99656
AK-Ruby,99768,99768
AK-Russian Mission,99657,99657
AK-Saint George Island,99591,99591
AK-Saint Marys,99658,99658
AK-Saint Michael,99659,99659
AK-Saint Paul Island,99660,99660
AK-Salcha,99714,99714
AK-Sand Point,99661,99661
AK-Savoonga,99769,99769
AK-Scammon Bay,99662,99662
AK-Selawik,99770,99770
AK-Seldovia,99663,99663
AK-Seward,99664,99664
AK-Shageluk,99665,99665
AK-Shaktoolik,99771,99771
AK-Shishmaref,99772,99772
AK-Shungnak,99773,99773
AK-Sitka,99835,99835
AK-Skagway,99840,99840
AK-Skwentna,99667,99667
AK-Sleetmute,99668,99668
AK-Soldotna,99669,99669
AK-South Naknek,99670,99670
AK-Stebbins,99671,99671
AK-Sterling,99672,99672
AK-Stevens Village,99774,99774
AK-Sutton,99674,99674
AK-Takotna,99675,99675
AK-Talkeetna,99676,99676
AK-Tanacross,99776,99776
AK-Tanana,99777,99777
AK-Tatitlek,99677,99677
AK-Teller,99778,99778
AK-Tenakee Springs,99841,99841
AK-Thorne Bay,99919,99919
AK-Togiak,99678,99678
AK-Tok,99780,99780
AK-Toksook Bay,99637,99637
AK-Trapper Creek,99683,99683
